event_id,event,subevent_id,subevent
1,duel,10,air_duel
1,duel,11,ground_attacking_duel
1,duel,12,ground_defending_duel
1,duel,13,ground_loose_ball_duel
2,foul,20,foul
2,foul,21,hand_foul
2,foul,22,late_card_foul
2,foul,23,out_of_game_foul
2,foul,24,protest
2,foul,25,simulation
2,foul,26,time_lost_foul
2,foul,27,violent_foul
3,free_kick,30,corner
3,free_kick,31,free_kick
3,free_kick,32,free_kick_cross
3,free_kick,33,free_kick_shot
3,free_kick,34,goal_kick
3,free_kick,35,penalty
3,free_kick,36,throw_in
4,goalkeeper_leaving_line,40,goalkeeper_leaving_line
5,interruption,50,ball_out_of_the_field
5,interruption,51,whistle
6,offside,60,offside
7,others_on_the_ball,70,acceleration
7,others_on_the_ball,71,clearance
7,others_on_the_ball,72,touch
8,pass,80,cross
8,pass,81,hand_pass
8,pass,82,head_pass
8,pass,83,high_pass
8,pass,84,launch
8,pass,85,simple_pass
8,pass,86,smart_pass
9,save_attempt,90,reflexes
9,save_attempt,91,save_attempt
10,shot,100,shot
